Bleu_4,METEOR,ROUGE_L,BERTScore,MoverScore,language,size,type
30.49,29.03,50.88,80.87,58.67,ja,,ft
30.06,29.02,50.57,80.86,58.65,ja,125904.0,trimmed
29.97,28.62,50.53,80.97,58.58,ja,125904.0,ft_trimmed
24.99,26.83,44.05,77.68,55.88,ja,15000.0,ft_trimmed
18.15,22.71,36.46,74.76,53.93,ja,15000.0,trimmed
28.39,27.71,48.96,80.26,58.0,ja,45000.0,ft_trimmed
29.75,28.84,50.36,80.88,58.63,ja,45000.0,trimmed
29.69,28.71,50.69,81.25,58.78,ja,30000.0,ft_trimmed
29.83,28.86,50.39,80.79,58.63,ja,30000.0,trimmed
29.17,28.11,49.93,80.72,58.49,ja,60000.0,ft_trimmed
30.01,28.96,50.52,80.86,58.65,ja,60000.0,trimmed
28.0,27.45,48.66,80.2,57.94,ja,75000.0,ft_trimmed
30.12,29.02,50.58,80.86,58.68,ja,75000.0,trimmed
29.02,28.14,49.87,80.85,58.49,ja,90000.0,ft_trimmed
30.11,29.02,50.59,80.87,58.66,ja,90000.0,trimmed
27.59,27.35,48.07,79.72,57.67,ja,105000.0,ft_trimmed
30.07,29.01,50.57,80.86,58.65,ja,105000.0,trimmed
28.36,27.63,48.88,80.2,58.08,ja,120000.0,ft_trimmed
30.06,29.02,50.58,80.86,58.66,ja,120000.0,trimmed
16.31,26.39,31.39,84.27,62.49,ru,,ft
16.31,26.39,31.39,84.27,62.49,ru,147756.0,trimmed
18.44,28.88,33.83,86.35,64.78,ru,147756.0,ft_trimmed
17.38,24.58,32.66,80.79,55.83,ru,15000.0,ft_trimmed
12.04,19.18,25.87,76.4,53.61,ru,15000.0,trimmed
18.46,29.41,34.28,86.57,65.36,ru,45000.0,ft_trimmed
16.29,26.32,31.35,84.24,62.46,ru,45000.0,trimmed
18.72,29.37,34.36,86.81,65.55,ru,30000.0,ft_trimmed
16.3,26.36,31.37,84.24,62.45,ru,30000.0,trimmed
18.44,28.77,33.87,86.45,65.06,ru,60000.0,ft_trimmed
16.31,26.34,31.38,84.26,62.47,ru,60000.0,trimmed
18.54,28.81,33.73,86.38,64.9,ru,75000.0,ft_trimmed
16.31,26.36,31.39,84.27,62.48,ru,75000.0,trimmed
17.91,28.75,33.59,86.02,64.65,ru,90000.0,ft_trimmed
16.33,26.39,31.39,84.27,62.5,ru,90000.0,trimmed
18.55,29.08,34.0,86.46,65.2,ru,105000.0,ft_trimmed
16.32,26.39,31.38,84.26,62.49,ru,105000.0,trimmed
18.65,28.94,33.86,86.5,64.95,ru,120000.0,ft_trimmed
16.31,26.38,31.38,84.26,62.49,ru,120000.0,trimmed
8.55,17.51,28.56,80.71,56.5,fr,,ft
8.52,17.46,28.5,80.7,56.48,fr,131087.0,trimmed
7.18,16.12,26.74,79.16,55.31,fr,131087.0,ft_trimmed
4.56,10.55,15.6,70.18,50.28,fr,15000.0,ft_trimmed
2.68,13.11,15.77,68.64,49.83,fr,15000.0,trimmed
4.94,11.67,16.71,71.19,50.63,fr,45000.0,ft_trimmed
2.57,13.08,15.45,68.53,49.79,fr,45000.0,trimmed
5.41,12.27,17.77,71.34,50.84,fr,30000.0,ft_trimmed
2.62,13.08,15.5,68.53,49.8,fr,30000.0,trimmed
5.53,12.44,18.16,71.8,50.93,fr,60000.0,ft_trimmed
2.52,12.98,15.41,68.45,49.77,fr,60000.0,trimmed
5.17,11.98,17.21,71.38,50.71,fr,75000.0,ft_trimmed
2.5,12.9,15.34,68.46,49.76,fr,75000.0,trimmed
5.56,12.42,18.02,71.91,50.85,fr,90000.0,ft_trimmed
2.51,12.91,15.29,68.43,49.76,fr,90000.0,trimmed
7.71,16.86,27.57,79.91,55.99,fr,105000.0,ft_trimmed
8.57,17.46,28.51,80.7,56.48,fr,105000.0,trimmed
7.73,17.14,28.03,79.8,55.9,fr,120000.0,ft_trimmed
8.56,17.46,28.52,80.7,56.49,fr,120000.0,trimmed
9.61,22.71,24.62,84.07,59.06,es,,ft
9.68,22.72,24.65,84.12,59.09,es,131105.0,trimmed
9.52,22.26,24.24,84.19,58.91,es,131105.0,ft_trimmed
8.16,19.07,22.61,79.11,54.7,es,15000.0,ft_trimmed
1.84,15.54,12.77,65.87,49.63,es,15000.0,trimmed
9.29,20.68,24.4,79.54,55.08,es,45000.0,ft_trimmed
1.77,15.42,12.56,65.83,49.57,es,45000.0,trimmed
8.8,19.93,23.52,79.46,55.01,es,30000.0,ft_trimmed
1.78,15.45,12.56,65.8,49.58,es,30000.0,trimmed
8.94,20.07,23.87,79.43,54.97,es,60000.0,ft_trimmed
1.75,15.41,12.56,65.89,49.58,es,60000.0,trimmed
8.76,19.91,23.77,79.77,55.05,es,75000.0,ft_trimmed
1.75,15.38,12.53,65.88,49.57,es,75000.0,trimmed
8.89,20.06,23.81,79.67,55.03,es,90000.0,ft_trimmed
1.74,15.38,12.52,65.92,49.58,es,90000.0,trimmed
9.17,22.11,23.93,83.78,58.65,es,105000.0,ft_trimmed
9.69,22.73,24.68,84.13,59.11,es,105000.0,trimmed
9.64,22.31,24.22,84.24,58.97,es,120000.0,ft_trimmed
9.68,22.73,24.66,84.12,59.1,es,120000.0,trimmed
7.37,17.57,21.93,80.8,56.79,it,,ft
7.38,17.57,21.92,80.8,56.79,it,111056.0,trimmed
7.17,17.45,21.78,80.56,56.59,it,111056.0,ft_trimmed
5.8,13.16,19.25,74.45,51.92,it,15000.0,ft_trimmed
0.89,9.57,9.51,62.72,48.67,it,15000.0,trimmed
5.95,13.01,19.12,74.17,51.84,it,45000.0,ft_trimmed
0.89,9.4,9.44,62.42,48.58,it,45000.0,trimmed
5.41,12.17,18.16,73.87,51.63,it,30000.0,ft_trimmed
0.89,9.43,9.43,62.45,48.61,it,30000.0,trimmed
6.01,13.06,19.36,74.24,51.86,it,60000.0,ft_trimmed
0.88,9.38,9.41,62.42,48.58,it,60000.0,trimmed
5.89,12.84,19.22,74.2,51.85,it,75000.0,ft_trimmed
0.88,9.38,9.4,62.42,48.58,it,75000.0,trimmed
7.22,17.1,21.35,80.6,56.45,it,90000.0,ft_trimmed
7.36,17.57,21.93,80.76,56.77,it,90000.0,trimmed
7.3,17.35,21.88,80.55,56.6,it,105000.0,ft_trimmed
7.38,17.57,21.92,80.8,56.79,it,105000.0,trimmed
10.57,27.52,25.64,82.89,82.49,ko,,ft
10.57,27.45,25.6,82.95,82.43,ko,73357.0,trimmed
11.22,27.98,26.36,83.69,82.62,ko,73357.0,ft_trimmed
11.12,27.98,26.5,83.62,82.8,ko,15000.0,ft_trimmed
10.57,27.4,25.5,82.9,82.35,ko,15000.0,trimmed
11.1,28.56,26.87,83.43,82.81,ko,45000.0,ft_trimmed
10.6,27.43,25.64,82.95,82.45,ko,45000.0,trimmed
10.96,28.64,26.84,83.35,82.91,ko,30000.0,ft_trimmed
10.59,27.43,25.63,82.95,82.42,ko,30000.0,trimmed
10.85,27.69,25.76,83.21,82.58,ko,60000.0,ft_trimmed
10.6,27.47,25.64,82.97,82.45,ko,60000.0,trimmed
